date,category,region,gmv,order_count,refund_rate,conversion_rate,uv,pv
2026-04-13,Electronics,East,43026.49,291,0.0393,0.1324,2198,10990
2026-04-13,Electronics,North,49617.8,521,0.0243,0.2979,1749,8745
2026-04-13,Electronics,South,42212.92,212,0.0296,0.0482,4399,13197
2026-04-13,Electronics,West,49078.54,303,0.0291,0.1674,1810,12670
2026-04-13,Electronics,Central,45443.8,574,0.0299,0.13,4414,17656
2026-04-13,Clothing,East,45543.88,336,0.0515,0.2707,1241,3723
2026-04-13,Clothing,North,51578.34,243,0.0296,0.1402,1733,10398
2026-04-13,Clothing,South,49607.03,390,0.0312,0.0947,4117,28819
2026-04-13,Clothing,West,43169.5,257,0.0431,0.1583,1623,8115
2026-04-13,Clothing,Central,48991.1,513,0.028,0.2463,2083,6249
2026-04-13,Food,East,47538.38,631,0.0389,0.1365,4623,27738
2026-04-13,Food,North,50929.95,451,0.0399,0.0999,4516,22580
2026-04-13,Food,South,44091.43,474,0.0142,0.1046,4531,18124
2026-04-13,Food,West,52911.6,309,0.0419,0.2708,1141,5705
2026-04-13,Food,Central,59816.76,343,0.0185,0.1095,3133,18798
2026-04-13,Home,East,69359.28,409,0.0277,0.0896,4566,22830
2026-04-13,Home,North,66213.42,337,0.0461,0.0854,3945,19725
2026-04-13,Home,South,53899.49,400,0.0323,0.1812,2208,15456
2026-04-13,Home,West,54891.65,348,0.0319,0.0888,3918,15672
2026-04-13,Home,Central,50268.76,267,0.0356,0.1936,1379,6895
2026-04-13,Beauty,East,59900.27,304,0.0348,0.1378,2206,15442
2026-04-13,Beauty,North,43484.81,404,0.0292,0.1309,3086,18516
2026-04-13,Beauty,South,52822.63,463,0.027,0.1376,3364,20184
2026-04-13,Beauty,West,36511.47,272,0.0332,0.0978,2781,11124
2026-04-13,Beauty,Central,50929.21,439,0.0279,0.3214,1366,4098
2026-04-14,Electronics,East,57275.51,313,0.0152,0.1662,1883,11298
2026-04-14,Electronics,North,45219.36,285,0.037,0.065,4386,26316
2026-04-14,Electronics,South,41580.82,184,0.0465,0.0416,4428,13284
2026-04-14,Electronics,West,49262.75,259,0.0196,0.2359,1098,6588
2026-04-14,Electronics,Central,35371.21,231,0.0371,0.1255,1841,9205
2026-04-14,Clothing,East,49282.43,229,0.0473,0.088,2602,13010
2026-04-14,Clothing,North,76034.43,433,0.0183,0.1378,3143,22001
2026-04-14,Clothing,South,47447.77,314,0.0231,0.0854,3675,22050
2026-04-14,Clothing,West,45210.7,302,0.0217,0.0805,3751,11253
2026-04-14,Clothing,Central,50638.38,462,0.0341,0.2183,2116,14812
2026-04-14,Food,East,44576.82,432,0.0242,0.0927,4662,32634
2026-04-14,Food,North,51333.8,470,0.0102,0.2302,2042,12252
2026-04-14,Food,South,37589.77,317,0.0177,0.1145,2769,19383
2026-04-14,Food,West,41767.28,260,0.0272,0.0683,3806,19030
2026-04-14,Food,Central,62628.65,406,0.0441,0.0827,4907,34349
2026-04-14,Home,East,59065.17,448,0.0482,0.1377,3253,13012
2026-04-14,Home,North,43286.08,279,0.0223,0.0881,3166,12664
2026-04-14,Home,South,42141.04,276,0.0226,0.0868,3178,22246
2026-04-14,Home,West,63037.21,555,0.0382,0.3136,1770,7080
2026-04-14,Home,Central,44493.62,262,0.0224,0.2057,1274,7644
2026-04-14,Beauty,East,63213.56,445,0.0315,0.1748,2546,15276
2026-04-14,Beauty,North,44740.94,189,0.0139,0.0978,1933,9665
2026-04-14,Beauty,South,51454.03,300,0.0301,0.0638,4702,18808
2026-04-14,Beauty,West,63757.1,455,0.018,0.4095,1111,5555
2026-04-14,Beauty,Central,40528.99,292,0.0258,0.2332,1252,5008
2026-04-15,Electronics,East,60546.99,400,0.0425,0.1011,3958,19790
2026-04-15,Electronics,North,52235.23,409,0.0229,0.148,2763,11052
2026-04-15,Electronics,South,35582.23,329,0.0299,0.0807,4078,16312
2026-04-15,Electronics,West,42847.49,318,0.0369,0.0689,4616,32312
2026-04-15,Electronics,Central,51174.86,281,0.0254,0.2106,1334,8004
2026-04-15,Clothing,East,38759.33,356,0.0424,0.1418,2510,10040
2026-04-15,Clothing,North,56787.9,459,0.0373,0.1394,3293,23051
2026-04-15,Clothing,South,36294.99,247,0.0258,0.0612,4035,24210
2026-04-15,Clothing,West,49121.25,340,0.0376,0.0887,3834,23004
2026-04-15,Clothing,Central,40964.58,244,0.0405,0.0904,2699,10796
2026-04-15,Food,East,53968.31,485,0.0316,0.1476,3286,16430
2026-04-15,Food,North,35503.55,223,0.0559,0.0973,2291,13746
2026-04-15,Food,South,47917.39,359,0.03,0.1594,2252,15764
2026-04-15,Food,West,37035.8,240,0.0298,0.0497,4828,24140
2026-04-15,Food,Central,35304.43,317,0.0362,0.0688,4605,18420
2026-04-15,Home,East,64102.71,462,0.0252,0.2404,1922,13454
2026-04-15,Home,North,45246.86,256,0.0175,0.0963,2658,18606
2026-04-15,Home,South,43086.18,251,0.0395,0.0557,4506,27036
2026-04-15,Home,West,46239.49,237,0.0333,0.0697,3402,20412
2026-04-15,Home,Central,67353.01,453,0.0319,0.1597,2836,11344
2026-04-15,Beauty,East,45181.81,271,0.0195,0.1294,2095,12570
2026-04-15,Beauty,North,60207.19,276,0.0208,0.0815,3387,10161
2026-04-15,Beauty,South,48492.81,374,0.03,0.0847,4416,17664
2026-04-15,Beauty,West,52063.19,346,0.0409,0.114,3035,9105
2026-04-15,Beauty,Central,40201.6,272,0.0379,0.1082,2514,17598
2026-04-16,Electronics,East,56734.93,389,0.0322,0.1562,2491,14946
2026-04-16,Electronics,North,39161.04,291,0.0365,0.1051,2768,16608
2026-04-16,Electronics,South,40479.32,231,0.0281,0.0651,3550,10650
2026-04-16,Electronics,West,50359.9,316,0.0481,0.1991,1587,9522
2026-04-16,Electronics,Central,69664.46,511,0.0371,0.1222,4180,25080
2026-04-16,Clothing,East,51155.89,262,0.0481,0.0551,4757,33299
2026-04-16,Clothing,North,57592.29,371,0.0157,0.1631,2274,15918
2026-04-16,Clothing,South,61256.86,503,0.034,0.1185,4244,21220
2026-04-16,Clothing,West,38689.25,257,0.0251,0.1154,2228,8912
2026-04-16,Clothing,Central,64743.86,324,0.0189,0.1598,2027,8108
2026-04-16,Food,East,58710.25,419,0.0182,0.0934,4486,17944
2026-04-16,Food,North,64055.72,715,0.0441,0.1751,4083,16332
2026-04-16,Food,South,46824.44,294,0.04,0.1851,1588,11116
2026-04-16,Food,West,66537.43,598,0.0139,0.1308,4573,32011
2026-04-16,Food,Central,33964.74,329,0.0415,0.1741,1890,7560
2026-04-16,Home,East,44315.27,269,0.0377,0.2624,1025,7175
2026-04-16,Home,North,43706.96,235,0.0243,0.0814,2886,8658
2026-04-16,Home,South,61692.01,381,0.0202,0.1299,2934,11736
2026-04-16,Home,West,54884.47,493,0.0322,0.1259,3917,15668
2026-04-16,Home,Central,46637.73,309,0.0363,0.0919,3363,20178
2026-04-16,Beauty,East,49438.84,276,0.0341,0.0569,4853,24265
2026-04-16,Beauty,North,56170.72,429,0.0404,0.1958,2191,10955
